,date,adm1_name,cum_confirmed_cases,population,pos_cases_quarantine,travel_ban_intl_out,travel_ban_intl_in,travel_ban_local,social_distance,work_from_home,no_gathering,school_closure,religious_closure,home_isolation,transit_suspension,pos_cases_quarantine_popwt,travel_ban_local_popwt,social_distance_popwt,work_from_home_popwt,no_gathering_popwt,school_closure_popwt,religious_closure_popwt,business_closure_popwt,federal_guidelines_popwt,home_isolation_popwt,transit_suspension_popwt,mask_intent,social_distance_intent,stay_home_intent,mask_mandate,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,2020-02-15,Illinois,2.0,12659682.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00335570469798,78.38966789667897,73.45977859778598,0,6.329411764705882,3.0694444444444446,15.2,2.096774193548387,1.4025974025974026,-0.8
1,2020-02-16,Illinois,2.0,12659682.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00335570469798,78.38966789667897,73.45977859778598,0,9.876543209876543,4.0,21.647058823529413,2.6666666666666665,2.0153846153846153,-1.2173913043478262
2,2020-02-17,Illinois,2.0,12659682.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00335570469798,78.38966789667897,73.45977859778598,0,-0.48148148148148145,-3.9577464788732395,-11.764705882352942,-4.53125,-20.916666666666668,5.333333333333333
3,2020-02-18,Illinois,2.0,12659682.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00335570469798,78.38966789667897,73.45977859778598,0,0.4939759036144578,-1.5142857142857142,4.294117647058823,1.7741935483870968,1.3473684210526315,0.27450980392156865
4,2020-02-19,Illinois,2.0,12659682.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00335570469798,78.38966789667897,73.45977859778598,0,2.4216867469879517,-2.318840579710145,3.0,2.838709677419355,1.7578947368421052,0.058823529411764705
5,2020-02-20,Illinois,2.0,12659682.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00335570469798,78.38966789667897,73.45977859778598,0,1.4534883720930232,-0.7464788732394366,0.6470588235294118,1.903225806451613,1.7894736842105263,0.058823529411764705
6,2020-02-21,Illinois,2.0,12659682.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00335570469798,78.38966789667897,73.45977859778598,0,4.885057471264368,-1.0263157894736843,8.166666666666666,3.878787878787879,3.4516129032258065,-0.86
7,2020-02-22,Illinois,2.0,12659682.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00335570469798,78.38966789667897,73.45977859778598,0,15.4,8.58904109589041,64.06666666666666,7.645161290322581,5.36,-2.5384615384615383
8,2020-02-23,Illinois,2.0,12659682.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00335570469798,78.38966789667897,73.45977859778598,0,15.1625,10.742424242424242,95.23529411764706,4.6,4.276923076923077,-1.826086956521739
9,2020-02-24,Illinois,2.0,12659682.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00335570469798,78.38966789667897,73.45977859778598,0,1.8395061728395061,3.7246376811594204,-6.235294117647059,-1.1612903225806452,2.7204301075268815,0.45098039215686275
10,2020-02-25,Illinois,2.0,12659682.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00335570469798,78.38966789667897,73.45977859778598,0,1.036144578313253,-0.7605633802816901,-8.882352941176471,-2.193548387096774,1.3617021276595744,1.0980392156862746
