date,adm1_name,cum_confirmed_cases,population,pos_cases_quarantine,travel_ban_intl_out,travel_ban_intl_in,travel_ban_local,social_distance,work_from_home,no_gathering,school_closure,religious_closure,home_isolation,transit_suspension,pos_cases_quarantine_popwt,travel_ban_local_popwt,social_distance_popwt,work_from_home_popwt,no_gathering_popwt,school_closure_popwt,religious_closure_popwt,business_closure_popwt,federal_guidelines_popwt,home_isolation_popwt,transit_suspension_popwt,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,mask_intent,social_distance_intent,mask_mandate
2020-02-15,California,8.0,39937489.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,California,,,US-CA,,1.0,1.0,19.0,1.0,-1.0,0.0,78.61253918495298,79.18746081504702,0
2020-02-16,California,8.0,39937489.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,California,,,US-CA,,5.0,0.0,31.0,1.0,-1.0,-1.0,78.61253918495298,79.18746081504702,0
2020-02-17,California,8.0,39937489.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,California,,,US-CA,,9.0,1.0,44.0,-12.0,-38.0,8.0,78.61253918495298,79.18746081504702,0
2020-02-18,California,9.0,39937489.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,California,,,US-CA,,0.0,0.0,16.0,3.0,0.0,0.0,78.61253918495298,79.18746081504702,0
2020-02-19,California,9.0,39937489.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,California,,,US-CA,,0.0,0.0,13.0,1.0,0.0,0.0,78.61253918495298,79.18746081504702,0
2020-02-20,California,9.0,39937489.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,California,,,US-CA,,2.0,1.0,12.0,1.0,0.0,0.0,78.61253918495298,79.18746081504702,0
2020-02-21,California,12.0,39937489.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,California,,,US-CA,,1.0,0.0,8.0,0.0,1.0,0.0,78.61253918495298,79.18746081504702,0
2020-02-22,California,12.0,39937489.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,California,,,US-CA,,0.0,0.0,-3.0,-4.0,1.0,1.0,78.61253918495298,79.18746081504702,0
2020-02-23,California,12.0,39937489.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,California,,,US-CA,,4.0,1.0,16.0,3.0,2.0,0.0,78.61253918495298,79.18746081504702,0
2020-02-24,California,13.0,39937489.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,California,,,US-CA,,2.0,0.0,12.0,1.0,4.0,0.0,78.61253918495298,79.18746081504702,0
