date,adm1_name,cum_confirmed_cases,population,pos_cases_quarantine,travel_ban_intl_out,travel_ban_intl_in,travel_ban_local,social_distance,work_from_home,no_gathering,school_closure,religious_closure,home_isolation,transit_suspension,pos_cases_quarantine_popwt,travel_ban_local_popwt,social_distance_popwt,work_from_home_popwt,no_gathering_popwt,school_closure_popwt,religious_closure_popwt,business_closure_popwt,federal_guidelines_popwt,home_isolation_popwt,transit_suspension_popwt,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,mask_intent,social_distance_intent,mask_mandate
2020-02-15,Florida,0.0,21992985.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Florida,,,US-FL,,2.0,0.0,9.0,2.0,-1.0,-1.0,74.48409090909091,80.21212121212122,0
2020-02-16,Florida,0.0,21992985.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Florida,,,US-FL,,4.0,1.0,8.0,2.0,-2.0,0.0,74.48409090909091,80.21212121212122,0
2020-02-17,Florida,0.0,21992985.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Florida,,,US-FL,,5.0,1.0,24.0,0.0,-19.0,4.0,74.48409090909091,80.21212121212122,0
2020-02-18,Florida,0.0,21992985.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Florida,,,US-FL,,3.0,2.0,13.0,6.0,1.0,0.0,74.48409090909091,80.21212121212122,0
2020-02-19,Florida,0.0,21992985.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Florida,,,US-FL,,3.0,0.0,15.0,5.0,2.0,0.0,74.48409090909091,80.21212121212122,0
2020-02-20,Florida,0.0,21992985.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Florida,,,US-FL,,2.0,1.0,10.0,4.0,1.0,0.0,74.48409090909091,80.21212121212122,0
2020-02-21,Florida,0.0,21992985.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Florida,,,US-FL,,0.0,-1.0,-12.0,0.0,0.0,1.0,74.48409090909091,80.21212121212122,0
2020-02-22,Florida,0.0,21992985.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Florida,,,US-FL,,3.0,0.0,8.0,2.0,1.0,0.0,74.48409090909091,80.21212121212122,0
2020-02-23,Florida,0.0,21992985.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Florida,,,US-FL,,5.0,2.0,20.0,4.0,0.0,0.0,74.48409090909091,80.21212121212122,0
2020-02-24,Florida,0.0,21992985.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Florida,,,US-FL,,3.0,1.0,12.0,3.0,2.0,0.0,74.48409090909091,80.21212121212122,0
