date,adm1_name,cum_confirmed_cases,population,pos_cases_quarantine,travel_ban_intl_out,travel_ban_intl_in,travel_ban_local,social_distance,work_from_home,no_gathering,school_closure,religious_closure,home_isolation,transit_suspension,pos_cases_quarantine_popwt,travel_ban_local_popwt,social_distance_popwt,work_from_home_popwt,no_gathering_popwt,school_closure_popwt,religious_closure_popwt,business_closure_popwt,federal_guidelines_popwt,home_isolation_popwt,transit_suspension_popwt,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,mask_intent,social_distance_intent,mask_mandate
2020-02-15,Maryland,0.0,6083116.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Maryland,,,US-MD,,2.0,0.0,4.0,1.0,0.0,-1.0,85.45142857142856,82.42857142857143,0
2020-02-16,Maryland,0.0,6083116.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Maryland,,,US-MD,,5.0,0.0,20.0,-1.0,0.0,-1.0,85.45142857142856,82.42857142857143,0
2020-02-17,Maryland,0.0,6083116.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Maryland,,,US-MD,,8.0,-1.0,40.0,-18.0,-33.0,8.0,85.45142857142856,82.42857142857143,0
2020-02-18,Maryland,0.0,6083116.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Maryland,,,US-MD,,2.0,0.0,21.0,4.0,2.0,0.0,85.45142857142856,82.42857142857143,0
2020-02-19,Maryland,0.0,6083116.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Maryland,,,US-MD,,2.0,0.0,7.0,1.0,2.0,0.0,85.45142857142856,82.42857142857143,0
2020-02-20,Maryland,0.0,6083116.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Maryland,,,US-MD,,1.0,0.0,-6.0,0.0,2.0,0.0,85.45142857142856,82.42857142857143,0
2020-02-21,Maryland,0.0,6083116.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Maryland,,,US-MD,,-1.0,-3.0,-4.0,-1.0,3.0,0.0,85.45142857142856,82.42857142857143,0
2020-02-22,Maryland,0.0,6083116.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Maryland,,,US-MD,,5.0,3.0,52.0,6.0,4.0,-2.0,85.45142857142856,82.42857142857143,0
2020-02-23,Maryland,0.0,6083116.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Maryland,,,US-MD,,6.0,4.0,75.0,6.0,3.0,-1.0,85.45142857142856,82.42857142857143,0
2020-02-24,Maryland,0.0,6083116.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Maryland,,,US-MD,,1.0,-1.0,10.0,-1.0,4.0,0.0,85.45142857142856,82.42857142857143,0
