date,adm1_name,cum_confirmed_cases,population,pos_cases_quarantine,travel_ban_intl_out,travel_ban_intl_in,travel_ban_local,social_distance,work_from_home,no_gathering,school_closure,religious_closure,home_isolation,transit_suspension,pos_cases_quarantine_popwt,travel_ban_local_popwt,social_distance_popwt,work_from_home_popwt,no_gathering_popwt,school_closure_popwt,religious_closure_popwt,business_closure_popwt,federal_guidelines_popwt,home_isolation_popwt,transit_suspension_popwt,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,mask_intent,social_distance_intent,mask_mandate
2020-02-15,Massachusetts,1.0,6976597.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,2.0,-4.0,0.0,3.0,-2.0,0.0,86.64478764478764,83.85328185328186,0
2020-02-16,Massachusetts,1.0,6976597.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,6.0,-4.0,3.0,-1.0,0.0,0.0,86.64478764478764,83.85328185328186,0
2020-02-17,Massachusetts,1.0,6976597.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,11.0,-2.0,32.0,-26.0,-42.0,9.0,86.64478764478764,83.85328185328186,0
2020-02-18,Massachusetts,1.0,6976597.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,-4.0,-10.0,-18.0,-4.0,-10.0,3.0,86.64478764478764,83.85328185328186,0
2020-02-19,Massachusetts,1.0,6976597.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,3.0,-3.0,3.0,-2.0,-10.0,2.0,86.64478764478764,83.85328185328186,0
2020-02-20,Massachusetts,1.0,6976597.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,3.0,-2.0,-1.0,-2.0,-8.0,2.0,86.64478764478764,83.85328185328186,0
2020-02-21,Massachusetts,1.0,6976597.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,0.0,-6.0,-9.0,-3.0,-9.0,3.0,86.64478764478764,83.85328185328186,0
2020-02-22,Massachusetts,1.0,6976597.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,5.0,-2.0,49.0,5.0,1.0,-1.0,86.64478764478764,83.85328185328186,0
2020-02-23,Massachusetts,1.0,6976597.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,9.0,1.0,66.0,6.0,3.0,-1.0,86.64478764478764,83.85328185328186,0
2020-02-24,Massachusetts,1.0,6976597.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,4.0,0.0,51.0,1.0,4.0,-1.0,86.64478764478764,83.85328185328186,0
2020-02-25,Massachusetts,1.0,6976597.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,2.0,-3.0,12.0,2.0,3.0,0.0,86.64478764478764,83.85328185328186,0
2020-02-26,Massachusetts,1.0,6976597.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,5.0,0.0,3.0,5.0,2.0,0.0,86.64478764478764,83.85328185328186,0
2020-02-27,Massachusetts,1.0,6976597.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,4.0,0.0,-1.0,5.0,3.0,0.0,86.64478764478764,83.85328185328186,0
2020-02-28,Massachusetts,1.0,6976597.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,5.0,1.0,-2.0,7.0,3.0,0.0,86.64478764478764,83.85328185328186,0
2020-02-29,Massachusetts,1.0,6976597.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,9.0,0.0,26.0,11.0,2.0,-1.0,86.64478764478764,83.85328185328186,0
2020-03-01,Massachusetts,1.0,6976597.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,10.0,4.0,-1.0,11.0,3.0,-1.0,86.64478764478764,83.85328185328186,0
2020-03-02,Massachusetts,1.0,6976597.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,7.0,5.0,21.0,2.0,3.0,0.0,86.64478764478764,83.85328185328186,0
2020-03-03,Massachusetts,2.0,6976597.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,11.0,6.0,49.0,4.0,1.0,-1.0,86.64478764478764,83.85328185328186,0
2020-03-04,Massachusetts,2.0,6976597.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Massachusetts,,,US-MA,,4.0,3.0,5.0,0.0,2.0,0.0,86.64478764478764,83.85328185328186,0
