date,adm1_name,cum_confirmed_cases,population,pos_cases_quarantine,travel_ban_intl_out,travel_ban_intl_in,travel_ban_local,social_distance,work_from_home,no_gathering,school_closure,religious_closure,home_isolation,transit_suspension,pos_cases_quarantine_popwt,travel_ban_local_popwt,social_distance_popwt,work_from_home_popwt,no_gathering_popwt,school_closure_popwt,religious_closure_popwt,business_closure_popwt,federal_guidelines_popwt,home_isolation_popwt,transit_suspension_popwt,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,mask_intent,social_distance_intent,mask_mandate
2020-02-15,New York,0.0,19440469.0,0.5,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,New York,,,US-NY,,3.0,-4.0,-2.0,-4.0,1.0,0.0,83.54365983295368,80.34851936218679,0
2020-02-16,New York,0.0,19440469.0,0.5,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,New York,,,US-NY,,7.0,-3.0,13.0,0.0,0.0,-1.0,83.54365983295368,80.34851936218679,0
2020-02-17,New York,0.0,19440469.0,0.5,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,New York,,,US-NY,,7.0,-2.0,23.0,-22.0,-37.0,9.0,83.54365983295368,80.34851936218679,0
2020-02-18,New York,0.0,19440469.0,0.5,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,New York,,,US-NY,,-2.0,-5.0,-4.0,-5.0,-10.0,3.0,83.54365983295368,80.34851936218679,0
2020-02-19,New York,0.0,19440469.0,0.5,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,New York,,,US-NY,,3.0,-2.0,11.0,-3.0,-9.0,2.0,83.54365983295368,80.34851936218679,0
2020-02-20,New York,0.0,19440469.0,0.5,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,New York,,,US-NY,,2.0,-3.0,0.0,-3.0,-9.0,2.0,83.54365983295368,80.34851936218679,0
2020-02-21,New York,0.0,19440469.0,0.5,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,New York,,,US-NY,,-1.0,-5.0,-8.0,-6.0,-9.0,3.0,83.54365983295368,80.34851936218679,0
2020-02-22,New York,0.0,19440469.0,0.5,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,New York,,,US-NY,,8.0,0.0,29.0,3.0,4.0,-1.0,83.54365983295368,80.34851936218679,0
2020-02-23,New York,0.0,19440469.0,0.5,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,New York,,,US-NY,,9.0,2.0,54.0,3.0,3.0,-1.0,83.54365983295368,80.34851936218679,0
2020-02-24,New York,0.0,19440469.0,0.5,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,New York,,,US-NY,,3.0,0.0,25.0,-1.0,4.0,0.0,83.54365983295368,80.34851936218679,0
