date,adm1_name,cum_confirmed_cases,population,pos_cases_quarantine,travel_ban_intl_out,travel_ban_intl_in,travel_ban_local,social_distance,work_from_home,no_gathering,school_closure,religious_closure,home_isolation,transit_suspension,pos_cases_quarantine_popwt,travel_ban_local_popwt,social_distance_popwt,work_from_home_popwt,no_gathering_popwt,school_closure_popwt,religious_closure_popwt,business_closure_popwt,federal_guidelines_popwt,home_isolation_popwt,transit_suspension_popwt,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,mask_intent,social_distance_intent,mask_mandate
2020-02-15,Texas,0.0,29472295.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Texas,,,US-TX,,3.0,3.0,12.0,3.0,1.0,-1.0,75.22769230769231,80.24923076923076,0
2020-02-16,Texas,0.0,29472295.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Texas,,,US-TX,,8.0,3.0,20.0,4.0,1.0,-1.0,75.22769230769231,80.24923076923076,0
2020-02-17,Texas,0.0,29472295.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Texas,,,US-TX,,6.0,2.0,21.0,2.0,-18.0,4.0,75.22769230769231,80.24923076923076,0
2020-02-18,Texas,0.0,29472295.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Texas,,,US-TX,,-1.0,-1.0,-4.0,3.0,1.0,0.0,75.22769230769231,80.24923076923076,0
2020-02-19,Texas,0.0,29472295.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Texas,,,US-TX,,-2.0,0.0,-12.0,0.0,3.0,1.0,75.22769230769231,80.24923076923076,0
2020-02-20,Texas,0.0,29472295.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Texas,,,US-TX,,-1.0,-2.0,-13.0,-1.0,1.0,1.0,75.22769230769231,80.24923076923076,0
2020-02-21,Texas,0.0,29472295.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Texas,,,US-TX,,2.0,0.0,-2.0,2.0,3.0,-1.0,75.22769230769231,80.24923076923076,0
2020-02-22,Texas,0.0,29472295.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Texas,,,US-TX,,3.0,1.0,13.0,3.0,4.0,-1.0,75.22769230769231,80.24923076923076,0
2020-02-23,Texas,0.0,29472295.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Texas,,,US-TX,,4.0,1.0,-11.0,3.0,1.0,0.0,75.22769230769231,80.24923076923076,0
2020-02-24,Texas,0.0,29472295.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Texas,,,US-TX,,2.0,1.0,1.0,2.0,3.0,0.0,75.22769230769231,80.24923076923076,0
