date,adm1_name,cum_confirmed_cases,population,pos_cases_quarantine,travel_ban_intl_out,travel_ban_intl_in,travel_ban_local,social_distance,work_from_home,no_gathering,school_closure,religious_closure,home_isolation,transit_suspension,pos_cases_quarantine_popwt,travel_ban_local_popwt,social_distance_popwt,work_from_home_popwt,no_gathering_popwt,school_closure_popwt,religious_closure_popwt,business_closure_popwt,federal_guidelines_popwt,home_isolation_popwt,transit_suspension_popwt,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,mask_intent,social_distance_intent,mask_mandate
2020-02-15,Washington,1.0,7797095.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,2.0,-1.0,8.0,8.0,-3.0,0.0,71.54078549848943,79.41993957703927,0
2020-02-16,Washington,1.0,7797095.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,15.0,3.0,19.0,5.0,-1.0,-1.0,71.54078549848943,79.41993957703927,0
2020-02-17,Washington,1.0,7797095.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,12.0,2.0,63.0,-7.0,-35.0,6.0,71.54078549848943,79.41993957703927,0
2020-02-18,Washington,1.0,7797095.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,5.0,2.0,52.0,7.0,-4.0,0.0,71.54078549848943,79.41993957703927,0
2020-02-19,Washington,1.0,7797095.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,4.0,3.0,60.0,7.0,-2.0,-1.0,71.54078549848943,79.41993957703927,0
2020-02-20,Washington,1.0,7797095.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,4.0,3.0,53.0,5.0,-2.0,0.0,71.54078549848943,79.41993957703927,0
2020-02-21,Washington,1.0,7797095.0,0.0,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,3.0,-1.0,55.0,4.0,-1.0,-1.0,71.54078549848943,79.41993957703927,0
2020-02-22,Washington,1.0,7797095.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,4.0,0.0,44.0,9.0,0.0,-1.0,71.54078549848943,79.41993957703927,0
2020-02-23,Washington,1.0,7797095.0,0.0,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,10.0,0.0,-11.0,3.0,1.0,0.0,71.54078549848943,79.41993957703927,0
2020-02-24,Washington,1.0,7797095.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,3.0,-1.0,15.0,3.0,4.0,-1.0,71.54078549848943,79.41993957703927,0
2020-02-25,Washington,1.0,7797095.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,6.0,1.0,36.0,5.0,2.0,0.0,71.54078549848943,79.41993957703927,0
2020-02-26,Washington,1.0,7797095.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,9.0,4.0,48.0,7.0,2.0,-1.0,71.54078549848943,79.41993957703927,0
2020-02-27,Washington,1.0,7797095.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,9.0,4.0,57.0,9.0,2.0,-1.0,71.54078549848943,79.41993957703927,0
2020-02-28,Washington,1.0,7797095.0,0.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,7.0,2.0,31.0,6.0,3.0,-2.0,71.54078549848943,79.41993957703927,0
2020-02-29,Washington,7.0,7797095.0,0.0,0.8,1,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,7.0,7.0,31.0,5.0,2.0,-1.0,71.54078549848943,79.41993957703927,0
2020-03-01,Washington,11.0,7797095.0,0.0,0.8,1,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,18.0,10.0,27.0,9.0,2.0,-1.0,71.54078549848943,79.41993957703927,0
2020-03-02,Washington,18.0,7797095.0,0.0,0.8,1,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,4.0,8.0,-7.0,-3.0,2.0,0.0,71.54078549848943,79.41993957703927,0
2020-03-03,Washington,27.0,7797095.0,0.0,0.8,1,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,6.0,11.0,23.0,-2.0,-1.0,1.0,71.54078549848943,79.41993957703927,0
2020-03-04,Washington,39.0,7797095.0,0.0,0.8,1,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,5.0,9.0,56.0,-2.0,-2.0,0.0,71.54078549848943,79.41993957703927,0
2020-03-05,Washington,70.0,7797095.0,0.0,0.8,1,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,United States,Washington,,,US-WA,,2.0,7.0,21.0,-8.0,-6.0,2.0,71.54078549848943,79.41993957703927,0
