State,state_wide_sign,state_wide_effect,buss_wide_sign,buss_wide_effect
Alabama,,06/15/2020,05/08/2020,05/11/2020
Alaska,,,04/22/2020,04/24/2020
Arizona,,,05/04/2020,05/08/2020
Arkansas,,,05/05/2020,05/08/2020
California,,06/18/2020,,
Colorado,,07/17/2020,04/17/2020,04/17/2020
Connecticut,04/17/2020,04/20/2020,04/01/2020,04/03/2020
Delaware,04/25/2020,04/28/2020,04/25/2020,04/28/2020
District of Columbia,04/15/2020,04/17/2020,04/15/2020,04/17/2020
Florida,,,05/09/2020,05/11/2020
Georgia,,,04/23/2020,05/01/2020
Hawaii,04/16/2020,04/17/2020,04/16/2020,04/17/2020
Idaho,,,,
Illinois,04/30/2020,05/01/2020,04/30/2020,05/01/2020
Indiana,,07/27/2020,05/01/2020,05/11/2020
Iowa,,,,
Kansas,,07/03/2020,,
Kentucky,04/28/2020,05/11/2020,04/28/2020,05/11/2020
Louisiana,,07/13/2020,04/30/2020,05/01/2020
Maine,04/29/2020,05/01/2020,04/29/2020,05/01/2020
Maryland,04/15/2020,04/18/2020,04/15/2020,04/18/2020
Massachusetts,05/01/2020,05/06/2020,05/01/2020,05/06/2020
Michigan,04/24/2020,04/27/2020,04/24/2020,04/27/2020
Minnesota,,07/25/2020,04/30/2020,04/30/2020
Mississippi,,,05/04/2020,05/07/2020
Missouri,,,,
Montana,,07/16/2020,,
Nebraska,,,05/04/2020,05/04/2020
Nevada,,06/24/2020,05/07/2020,05/09/2020
New Hampshire,,08/11/2020,05/01/2020,05/01/2020
New Jersey,04/08/2020,04/10/2020,04/08/2020,04/10/2020
New Mexico,05/15/2020,05/15/2020,05/05/2020,05/06/2020
New York,04/16/2020,04/17/2020,04/16/2020,04/17/2020
North Carolina,,06/26/2020,,
North Dakota,,,,
Ohio,,07/23/2020,04/30/2020,05/01/2020
Oklahoma,,,,
Oregon,,07/01/2020,05/07/2020,05/15/2020
Pennsylvania,04/15/2020,04/19/2020,04/15/2020,04/19/2020
Rhode Island,05/05/2020,05/08/2020,04/14/2020,04/18/2020
South Carolina ,,,
South Dakota ,,,
Tennessee,,,,
Texas,,07/3/2020,,
Utah,04/10/2020,04/10/2020,04/10/2020,04/10/2020
Vermont,,08/01/2020,04/17/2020,04/17/2020
Virginia,,05/29/2020,,
Washington,,06/26/2020,05/04/2020,05/05/2020
West Virginia,,07/06/2020,04/30/2020,05/04/2020
Wisconsin,,07/01/2020,,
Wyoming,,,04/28/2020,05/01/2020
