confirmed	death	recovered
189033	9385	23887.0
195749	10058	23887.0
203020	10842	23887.0
214454	11617	23887.0
223691	14832	23887.0
230597	17131	23887.0
241712	17671	23887.0
247815	18298	23887.0
253060	18611	23887.0
258361	19104	23887.0
263292	19413	23887.0
263460	20973	23887.0
271590	21411	23887.0
282143	22009	23887.0
288045	22269	23887.0
291996	22668	23887.0
295106	22912	51630.0
299691	23477	53238.0
304372	23587	54771
308314	24039	56187
312977	24198	57540
316415	24708	58950
318953	24999	58950
321192	25124	58950.0
323978	25623	54597.0
327469	26144	55547.0
330407	26243	56378.0
333122	26612	57180.0
335395	26641	58006.0
337055	26988	58363.0
338485	27284	58679.0
340661	27477	59193.0
343051	27641	59758.0
345813	27878	60302.0
348232	28049	60796.0
350121	28232	61381.0
351371	28339	61681.0
352845	28558	61886.0
354370	28636	61886.0
356458	28743	62826.0
358154	28853	63292.0
359926	29031	63292.0
361515	29141	64080.0
362764	29229	64280.0
363836	29302	64443.0
364965	29484	64632.0
366733	29529	64954.0
368284	29646	65289.0
369660	29710	65609.0
370770	29784	65934.0
371711	29917	66110.0
373040	29968	66262.0
374085	30019	66502.0
375133	30174	66756.0
376208	30236	66992.0
377316	30280	67261.0
378097	30374	67544.0
378799	30417	67687.0
379482	30458	67808.0
380156	30542	68019.0
380892	30580	68211.0
381714	30758	68399.0
382630	30795	68584.0
383324	30825	68761.0
383944	30856	68851.0
384575	30909	68938.0
385142	30939	69085.0
385760	30974	69243.0
386556	31015	69377.0
387272	31083	69506.0
387936	31125	69506.0
388488	31176	69710.0
389085	31232	69710.0
389666	31257	69710.0
390415	31301	70010.0
391220	31342	70010.0
391923	31368	70010.0
392539	31397	70010.0
393403	31403	70435.0
393454	32032	70487.0
394079	32043	70590.0
394954	32064	70698.0
395872	32137	70794.0
396598	32157	70877.0
397131	32206	70968.0
397649	32219	71040.0
398237	32243	71091.0
398929	32251	71185.0
399513	32283	71279.0
400299	32331	71371.0
401029	32343	71477.0
401706	32350	71565.0
402263	32395	71643.0
403175	32408	71692.0
404006	32427	71782.0
404775	32446	71867.0
405551	32463	71970.0
406305	32478	72064.0
406807	32495	72161.0
407326	32506	72229.0
408181	32520	72302.0
408886	32558	72386.0
409697	32594	72466.0
410450	32596	72552.0
411200	32608	72632.0
411736	32630	72716.0
412344	32645	72766.0
412878	32653	72813.0
413593	32658	72900.0
414370	32683	72973.0
415014	32689	73055.0
415767	32694	73134.0
416298	32710	73222.0
416843	32719	73279.0
417589	32725	73326.0
418225	32754	73410.0
418928	32756	73472.0
419642	32760	73530.0
420345	32768	73609.0
420860	32774	73689.0
421336	32781	73736.0
422003	32787	73779.0
422703	32797	73842.0
423440	32805	73907.0
424167	32827	73997.0
424901	32833	74081.0
425508	32840	74154.0
425916	32846	74207.0
426571	32857	74258.0
427202	32865	74328.0
427803	32861	74406.0
428512	32864	74485.0
429165	32871	74553.0
429737	32883	74640.0
430145	32887	74684.0
430774	32918	74731.0
431340	32921	74791.0
432131	32926	74850.0
432767	32934	74923.0
433402	32938	74990.0
434100	32951	75062.0
434756	32957	75100.0
435510	32966	75142.0
436218	32972	75203.0
437107	32976	75255.0
437971	32982	75307.0
438772	32987	75366.0
439501	32987	75425.0
440021	33002	75471.0
440578	33016	75503.0
441154	33019	75539.0
441911	33019	75584.0
442791	33019	75649.0
443640	33023	75707.0
444365	33023	75767.0
444948	33030	75814.0
445714	33038	75847.0
446366	33042	75903.0
447262	33070	75962.0
448052	33085	76036.0
449038	33081	76101.0
449900	33087	76179.0
450473	33092	76218.0
451227	33090	76246.0
451892	33090	76306.0
452847	33095	76382.0
453755	33122	76456.0
454760	33125	76528.0
455626	33131	76595.0
456460	33140	76649.0
457649	33144	76649.0
458649	33153	76754.0
460031	33159	76834.0
461629	33199	76834.0
463360	33197	77004.0
464582	33205	77090.0
465515	33214	77141.0
466908	33219	77192.0
468268	33226	77267.0
470104	33227	77351.0
471696	33290	77432.0
473143	33293	77514.0
474286	33294	77631.0
475315	33301	77631.0
476708	33306	77755.0
477940	33316	77870.0
479400	33337	78006.0
481107	33337	78117.0
482891	33347	78235.0
484281	33357	78362.0
485279	33366	78442.0
486480	33366	78530.0
488506	33371	78645.0
490134	33396	78753.0
491771	33418	78854.0
493832	33418	78960.0
